function_name,call_count,total_time_seconds,avg_time_seconds,median_time_seconds,min_time_seconds,max_time_seconds,std_dev_seconds
/home/jiajli/apps/IRON/iron/common/compilation.py:__init__:76,2898,0.980272007,0.000338258,0.000330754,0.000044824,0.010341498,0.000195033
/usr/lib/python3.12/inspect.py:getsourcefile:959,4040,0.956434032,0.000236741,0.000233189,0.000222900,0.000812120,0.000023303
/home/jiajli/apps/IRON/iron/operators/silu/design.py:core_fn:52,64,0.941180089,0.014705939,0.014507304,0.014234975,0.017043167,0.000555448
/home/jiajli/apps/mlir-air/my_install/mlir-aie/install/python/aie/iron/device/device.py:resolve_tile:242,7612,0.941112708,0.000123635,0.000121399,0.000055073,0.005881884,0.000071342
/home/jiajli/apps/IRON/iron/applications/llama_3.2_1b/src/block/feed_forward.py:forward:187,16,0.924273605,0.057767100,0.057467942,0.055550454,0.061467064,0.001523406
/home/jiajli/apps/IRON/iron/operators/swiglu_prefill/op.py:forward:225,16,0.923438361,0.057714898,0.057428898,0.055508635,0.061350213,0.001505297
/home/jiajli/apps/IRON/iron/operators/swiglu_prefill/op.py:_execute_aie_operation:261,16,0.922899703,0.057681231,0.057403185,0.055479800,0.061286062,0.001496191
/usr/lib/python3.12/base64.py:_bytes_from_decode_data:41,128000,0.906103651,0.000007079,0.000006883,0.000006593,0.000237207,0.000001171
/usr/lib/python3.12/pathlib.py:stat:842,19519,0.897633116,0.000045988,0.000032782,0.000030808,0.000377220,0.000034229
/usr/lib/python3.12/inspect.py:findsource:1128,2023,0.893799253,0.000441819,0.000434659,0.000414642,0.004765801,0.000103381
/home/jiajli/apps/IRON/iron/operators/gemm/op.py:get_artifacts:215,129,0.845826497,0.006556795,0.006311564,0.005497480,0.020632011,0.001684521
/home/jiajli/apps/mlir-air/my_install/mlir-aie/install/python/aie/helpers/dialects/scf.py:_for:65,1290,0.821936978,0.000637160,0.000629371,0.000587557,0.001541064,0.000052446
